Alley Cat Amateur Theatre,Ne06406098,1070413770,10 Theatre Alley New York,New York,1200,2400,0.02
Shump Palace,Ne12244069,6313118205,Murray Street New York,New York,1100,200,0.02
Temple Court,Ne42028238,0506991463,5 Beekman Street between Nassau Street New York,New York,1100,2300,0.02
Manhattan Proper,Ne06587680,0447382239,6 Murray Street New York,New York,1300,100,0.02
Copper Barrel,Ne29867431,4926126754,6 Murray Street #1 New York,New York,1300,2300,0.02
Five & Dime,Ne67945136,5066944712,8 Park Place New York,New York,1300,300,0.02
The Bar Room,Ne13371814,8077134428,5 Beekman Street New York,New York,1000,300,0.02
The Wooly Public,Ne88008272,8418568203,9 Barclay Street New York,New York,1400,300,0.02
The Beekman Pub,Ne86370894,7268560399,15 Beekman Street New York,New York,1300,2300,0.02
Dark Horse,Ne15393604,6212319085,17 Murray Street New York,New York,1100,200,0.02
Lilly O'Brien's,Ne95439247,6089523350,18 Murray Street New York,New York,1000,300,0.02
Maxwell's,Ne31253931,5158880862,59 Reade Street New York,New York,1100,100,0.02
Nassau Bar,Ne26528763,6065947339,118 Nassau Street New York,New York,1300,300,0.02
Racines NY,Ne79894854,1659687597,94 Chambers Street New York,New York,1100,100,0.02
Barleycorn,Ne27715664,4693438058,23 Park Place New York,New York,1400,200,0.02
The barber soho new york,Ne11860979,9424853777,68 Thompson Street New York,New York,1100,100,0.02
Recreation,Ne32458665,3597028232,26 Ann Street New York,New York,1400,300,0.02
W XYZ Bar and Lounge at Aloft Manhattan Downtown,Ne71707908,4016427290,49-53 Ann Street New York,New York,1200,2400,0.02
Gianfranco Trentarossi,Ne24021935,9273856862,New York,New York,1200,2400,0.02
Rosa Mexicano,Ne70067682,9806096762,41 Murray Street New York,New York,1300,100,0.02
Gallera Los Angeles,Ca78038678,8274017920,Ciudadela Los Angeles,California,1100,200,0.07
Hummus bar and grill,Ca90641463,7384923220,101 South Main Street Los Angeles,California,1300,300,0.07
The Edison,Ca25748439,0199850408,108 West 2nd Street #101 Los Angeles,California,1200,2300,0.07
Justice Urban Tavern,Ca18490324,6310564283,120 South Los Angeles Street Los Angeles,California,1000,2400,0.07
Kushi Shabu Restaurant,Ca52671535,7887950668,123 Astronaut E S Onizuka #305 Los Angeles,California,1100,100,0.07
The New Jalisco Bar,Ca20239090,0075983879,245 South Main Street Los Angeles,California,1200,300,0.07
bluewhale,Ca04969592,9777976259,123 Astronaut Ellison S Onizuka Street #301 Los Angeles,California,1200,100,0.07
Five Star Bar,Ca43247668,8208000164,267 South Main Street Los Angeles,California,1300,200,0.07
La Costena Bar,Ca79855257,1197955977,271 South Main Street Los Angeles,California,1100,100,0.07
The Redwood Bar & Grill,Ca01156136,8735903032,316 West 2nd Street Los Angeles,California,1200,2400,0.07
Birds & Bees,Ca18427089,7730379678,207 South Broadway B Basement Los Angeles,California,1300,2400,0.07
Nirvana Sports Bar & Grill,Ca12856745,0607740534,314 East 1st Street Los Angeles,California,1200,2300,0.07
Mitsuru Sushi & Grill,Ca40630198,0927929652,316 East 1st Street Los Angeles,California,1400,100,0.07
The Lexington,Ca29633508,1614097106,129 East 3rd Street Los Angeles,California,1300,200,0.07
The Crossing,Ca14905352,2108364778,200 South Hill Street Los Angeles,California,1100,2300,0.07
Tokyo Beat,Ca38998238,2774004049,319 East 2nd Street #205 Los Angeles,California,1200,2400,0.07
Ohjah Lounge,Ca12390599,2271667858,328 East 1st Street Los Angeles,California,1300,200,0.07
Baldoria,Ca10802829,7019261513,243 San Pedro Street Los Angeles,California,1400,300,0.07
Far Bar,Ca41766766,1471043677,347 East 1st Street Los Angeles,California,1000,200,0.07
Tot,Ca21088314,6261079704,345 East 2nd Street Los Angeles,California,1300,2400,0.07
Kitty O'Sheas,Il21988244,0698534074,Chicago,Illinois,1300,2400,0.1
Union League Club,Il23683778,1151356123,65 West Jackson Boulevard Chicago,Illinois,1100,300,0.1
Brando's Speakeasy,Il72766381,9225990634,343 South Dearborn Street Chicago,Illinois,1200,300,0.1
Plymouth Restaurant & Rooftop Bar,Il95307117,3831335270,327 South Plymouth Court Chicago,Illinois,1200,2300,0.1
The Marq,Il55452872,5753777858,60 West Adams Street Chicago,Illinois,1400,200,0.1
Elephant & Castle,Il59013106,3769196763,111 West Adams Street Chicago,Illinois,1400,300,0.1
Sky-Ride Cocktail Lounge,Il02044360,8517262372,105 West Van Buren Street Chicago,Illinois,1100,100,0.1
Antique Taco Chiquito,Il77840707,8129262150,125 S Clark St Chicago,Illinois,1100,2400,0.1
Jack Schwartz Importer,Il55548497,0112398975,141 West Jackson Boulevard Chicago,Illinois,1200,100,0.1
Revival Food Hall,Il91531084,1542442489,125 South Clark Street Chicago,Illinois,1100,200,0.1
REFUGE Live!,Il82549704,0319188219,416 South Clark Street Chicago,Illinois,1100,300,0.1
Dickie's Pub,Il93011932,6945470623,400 South LaSalle Street Chicago,Illinois,1000,300,0.1
The Bar Below in Chicago,Il07702341,4226922976,Lower level 127 South State Street Chicago,Illinois,1200,2400,0.1
Barcode Discount,Il45774513,4726045708,218 South Wabash Avenue # 5 Chicago,Illinois,1000,100,0.1
The Grillroom Chophouse & Wine Bar,Il82959587,4522173587,33 West Monroe Street Chicago,Illinois,1100,2400,0.1
Beef and Brandy,Il18945649,5257086800,127 South State Street Chicago,Illinois,1400,2400,0.1
Exchequer Restaurant & Pub,Il45684993,0280404319,226 South Wabash Avenue Chicago,Illinois,1300,100,0.1
QDOBA Mexican Eats,Il57664937,1705707602,175 West Jackson Boulevard Ste 103 Chicago,Illinois,1200,2400,0.1
AraOn Restaurant,Il50196350,9342402037,160 West Adams Street Chicago,Illinois,1100,300,0.1
2Twenty2 Tavern,Il43328384,1378401146,2303 222 South Wabash Avenue Chicago,Illinois,1000,200,0.1
Blue by Massa's,Te67743729,3978784895,1160 Smith Street Houston,Texas,1000,200,0.08
