Get Together,NorthGate Brewing 
Maggie's Leap,NorthGate Brewing 
Wall's End,NorthGate Brewing
Pumpion,NorthGate Brewing 
Stronghold,NorthGate Brewing 
Parapet ESB,NorthGate Brewing 
Citra Ass Down,Against the Grain Brewery
London Balling,Against the Grain Brewery
35 K,Against the Grain Brewery
A Beer,Against the Grain Brewery
Rules are Rules,Against the Grain Brewery
Flesh Gourd'n,Against the Grain Brewery
Sho'nuff,Against the Grain Brewery
Bloody Show,Against the Grain Brewery
Rico Sauvin,Against the Grain Brewery
Coq de la Marche,Against the Grain Brewery
Kamen Knuddeln,Against the Grain Brewery
Pile of Face,Against the Grain Brewery
The Brown Note,Against the Grain Brewery
House Lager,Jack's Abby Craft Lagers
Leisure Time,Jack's Abby Craft Lagers
Excess IPL,Jack's Abby Craft Lagers
Hoponius Union,Jack's Abby Craft Lagers
Calyptra,Jack's Abby Craft Lagers
Habitus (2014),Mike Hess Brewing Company
Solis,Mike Hess Brewing Company
Jucundus,Mike Hess Brewing Company
Habitus,Mike Hess Brewing Company
Grazias,Mike Hess Brewing Company
Claritas,Mike Hess Brewing Company
Park,Fort Point Beer Company
Westfalia,Fort Point Beer Company
KSA,Fort Point Beer Company
Villager,Fort Point Beer Company
Blackbeard,COAST Brewing Company
Rye Knot,COAST Brewing Company
Dead Arm,COAST Brewing Company
32°/50° Kölsch ,COAST Brewing Company
HopArt,COAST Brewing Company
Boy King,COAST Brewing Company
Denver Pale Ale (Artist Series No. 1),Great Divide Brewing Company
Hibernation Ale,Great Divide Brewing Company
Whitewater,Great Divide Brewing Company
Rumble,Great Divide Brewing Company
Orabelle,Great Divide Brewing Company
Lasso,Great Divide Brewing Company
Yeti  Imperial Stout,Great Divide Brewing Company
Colette,Great Divide Brewing Company
Titan IPA,Great Divide Brewing Company
Peck's Porter,Tapistry Brewing
Reactor,Tapistry Brewing
Mr. Orange,Tapistry Brewing
Dark Star,Big Lake Brewing
Ryecoe,Big Lake Brewing
G. B. Russo’s Italian Pistachio Pale Ale,The Mitten Brewing Company
Belfort,Brewery Vivant
Star Runner,Brewery Vivant
Tart Side of the Barrel,Brewery Vivant
Linnaeus Mango IPA,Brewery Vivant
Beasts A'Burnin',Brewery Vivant
Verdun,Brewery Vivant
Barrel Aged Triomphe,Brewery Vivant
Cherry Doppelbock,Brewery Vivant
Tropical Saison,Brewery Vivant
Beach Patrol,Brewery Vivant
Nuit Serpent,Brewery Vivant
Paris,Brewery Vivant
The Grand Army,Brewery Vivant
Acidulated Trip,Brewery Vivant
Root Stock,Brewery Vivant
Mind Games,Brewery Vivant
Sous Chef,Brewery Vivant
Dubbelicious,Brewery Vivant
Psychopomp,Brewery Vivant
Fat Paczki,Brewery Vivant
Earth-Like Planets,Brewery Vivant
Ski Patrol,Brewery Vivant
Viking Ice Hole,Brewery Vivant
Rye Porter,Brewery Vivant
Wizard Burial Ground,Brewery Vivant
Smoky Wheat,Brewery Vivant
BRIPA,Brewery Vivant
Mela,Brewery Vivant
W.I.P.A Snappa,Brewery Vivant
Pepper in the Rye,Brewery Vivant
Moe Lasses',Brewery Vivant
Pumpkin Tart,Brewery Vivant
Undertaker,Brewery Vivant
Undertaker (2014),Brewery Vivant
Coq D'Or,Brewery Vivant
North French,Brewery Vivant
Agent a Deux,Brewery Vivant
Belgian Wit,Brewery Vivant
Pothole Stout,Brewery Vivant
Tree Bucket,Brewery Vivant
Le Flaneur Ale,Brewery Vivant
Maize & Blueberry,Brewery Vivant
Trebuchet Double IPA,Brewery Vivant
Contemplation,Brewery Vivant
Black Rabbit,Brewery Vivant
Zaison,Brewery Vivant
Vivant Tripel,Brewery Vivant
Tart Side of the Moon,Brewery Vivant
Big Red Coq,Brewery Vivant
Hubris Quadrupel Anniversary Ale,Brewery Vivant
Plow Horse Belgian Style Imperial Stout,Brewery Vivant
Escoffier Bretta Ale,Brewery Vivant
Contemplation (2012),Brewery Vivant
Vivant Belgian Style Imperial Stout (2012),Brewery Vivant
Big Red Coq (2012),Brewery Vivant
Zaison (2012),Brewery Vivant
Vivant Tripel (2012),Brewery Vivant
Trebuchet Double IPA (2012),Brewery Vivant
Kludde,Brewery Vivant
Farm Hand,Brewery Vivant
Solitude,Brewery Vivant
Triomphe,Brewery Vivant
Sparkle,Petoskey Brewing
North 45 Amber Ale,Petoskey Brewing
Horny Monk,Petoskey Brewing
Mind's Eye PA,Petoskey Brewing
Nordskye ,Blackrocks Brewery
North Third Stout,Blackrocks Brewery
Honey Lav,Blackrocks Brewery
Coconut Brown Ale,Blackrocks Brewery
51K IPA,Blackrocks Brewery
Grand Rabbits,Blackrocks Brewery
Hotbox Brown,Perrin Brewing Company
Gold,Perrin Brewing Company
Black,Perrin Brewing Company
98 Problems (Cuz A Hop Ain't One),Perrin Brewing Company
Veteran’s Pale Ale (VPA),Perrin Brewing Company
Grapefruit IPA,Perrin Brewing Company
Train Hopper,Witch's Hat Brewing Company
Edward’s Portly Brown,Witch's Hat Brewing Company
Dirty Bastard,Founders Brewing Company
Centennial IPA,Founders Brewing Company
All Day IPA,Founders Brewing Company
Deflator,Flat 12 Bierwerks
Hinchtown Hammer Down,Flat 12 Bierwerks
Half Cycle IPA,Flat 12 Bierwerks
