Alley Cat Amateur Theatre,Consomme printaniere royal,21
Alley Cat Amateur Theatre,Chicken gumbo,1
Alley Cat Amateur Theatre,Tomato aux croutons,18
Alley Cat Amateur Theatre,Onion au gratin,15
Shump Palace,Radishes,20
Shump Palace,Chicken soup with rice,15
Shump Palace,Clam broth (cup),6
Shump Palace,Cream of new asparagus, croutons,27
Temple Court,Striped bass saute, meuniere,20
Temple Court,Anchovies,3
Temple Court,Fresh lobsters in every style,7
Temple Court,Celery,4
Manhattan Proper,Caviar,3
Manhattan Proper,Sardines,5
Manhattan Proper,India chutney,1
Manhattan Proper,Pickles,25
Copper Barrel,Pate de foies-gras,10
Copper Barrel,Pomard,1
Copper Barrel,Brook trout, mountain style,21
Copper Barrel,Whitebait, sauce tartare,2
Five & Dime,Oysters,17
Five & Dime,Claremont planked shad,10
Five & Dime,G. H. Mumm & Co's Extra Dry,15
Five & Dime,Cerealine with Milk,18
The Bar Room,Wheat Vitos,10
The Bar Room,Sliced Tomatoes,7
The Bar Room,Russian Caviare on Toast,1
The Bar Room,Smoked beef in cream,26
The Wooly Public,Potage a la Victoria,5
The Wooly Public,Breakfast,25
The Wooly Public,Strawberries,30
The Wooly Public,Preserved figs,6
The Beekman Pub,CONSOMME ANGLAISE,10
The Beekman Pub,CREAM OF CAULIFLOWER,6
The Beekman Pub,BROILED SHAD, A LA MAITRE D'HOTEL,25
The Beekman Pub,SLICED CUCUMBERS,3
Dark Horse,POTATOES, JULIEN,21
Dark Horse,Cracked Wheat,30
Dark Horse,Malt Breakfast Food,15
Dark Horse,BOILED BEEF TONGUE, ITALIAN SAUCE,2
Lilly O'Brien's,Pears,22
Lilly O'Brien's,ROAST SIRLOIN OF BEEF, YORKSHIRE PUDDING,19
Lilly O'Brien's,Huhnerbruhe,11
Lilly O'Brien's,ROAST EASTER LAMB, MINT SAUCE,3
Maxwell's,Hafergrutze,4
Maxwell's,BROWNED POTATOES,1
Maxwell's,Pampelmuse,12
Maxwell's,Apfelsinen,5
Nassau Bar,Milchreis,12
Nassau Bar,Grape fruit,5
Nassau Bar,Oranges,14
Nassau Bar,Clam Fritters,30
Racines NY,Bouillon, en Tasse,15
Racines NY,Spargel Suppe,27
Racines NY,Kraftsuppe, konigliche Art,12
